Step,diffusion policy 2/success_once,diffusion policy 0/success_once,diffusion policy 1/success_once,mean,std
2,0,0,0.02,0.006666667,0.011547005
22,0.72,0.73,0.72,0.723333333,0.005773503
42,0.89,0.91,0.82,0.873333333,0.047258156
62,0.93,0.92,0.92,0.923333333,0.005773503
82,0.96,0.96,0.99,0.97,0.017320508
102,0.95,0.94,0.9,0.93,0.026457513
